Название облигации;ISIN;Дата размещения;Дата погашения;Ставка купона;Рейтинг;Цвет рейтинга;Ссылка
Воксис-001Р-02;RU000A10B222;2025-03-12;2029-02-19;26.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03FF4/default.asp
ТГК-14-001Р-05;RU000A10AS02;2025-01-30;2029-01-09;24.75%;BBB+;Желтый;https://bonds.finam.ru/issue/details03F18/default.asp
Воксис-001Р-01;RU000A10AC67;2024-12-25;2028-12-04;28.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details03EC3/default.asp
ТГК-14-001Р-03;RU000A10AEF9;2024-12-19;2028-06-01;26.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03E9C/default.asp
Медицинский центр Поликлиника.ру-БО-01;RU000A109MH5;2024-09-26;2027-09-11;22.5%;BBB+;Желтый;https://bonds.finam.ru/issue/details03D25/default.asp
РОЛЬФ-001Р-03;RU000A109LC8;2024-09-24;2027-09-09;22.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details03D35/default.asp
Роделен-002P-02;RU000A107SA1;2024-02-13;2028-01-23;18.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details03A7A/default.asp
ТГК-14-001Р-02;RU000A106MW0;2023-08-01;2027-07-27;12.85%;BBB+;Желтый;https://bonds.finam.ru/issue/details037CF/default.asp
Концерн РОССИУМ-002P-03;RU000A102HX7;2020-12-16;2030-12-04;6.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details02C94/default.asp
Концерн РОССИУМ-002P-02;RU000A1021A6;2020-08-17;2030-08-05;6.0%;BBB+;Желтый;https://bonds.finam.ru/issue/details02A3E/default.asp
Концерн РОССИУМ-001Р-01;RU000A0ZZCX6;2018-07-12;2027-12-30;8.62%;BBB+;Желтый;https://bonds.finam.ru/issue/details0225C/default.asp
ГЛОРАКС-001P-04;RU000A10B9Q9;2025-04-09;2028-03-24;25.5%;BBB;Желтый;https://bonds.finam.ru/issue/details0402E/default.asp
ТАЛК лизинг-002P-01;RU000A10B5C7;2025-03-25;2028-03-09;24.5%;BBB;Желтый;https://bonds.finam.ru/issue/details04034/default.asp
ПАТРИОТ ГРУПП-001Р-01;RU000A10B2D2;2025-03-13;2028-02-26;27.0%;BBB;Желтый;https://bonds.finam.ru/issue/details03FF3/default.asp
ЭНЕРГОНИКА-001P-05;RU000A10A4C1;2024-11-21;2029-10-26;28.0%;BBB;Желтый;https://bonds.finam.ru/issue/details03E0E/default.asp
АРЕНЗА-ПРО-001P-06;RU000A10A026;2024-11-05;2027-11-26;24.75%;BBB;Желтый;https://bonds.finam.ru/issue/details03D03/default.asp
Центр развития стоматологии Садко-001P-01;RU000A109SX9;2024-10-16;2028-10-11;23.5%;BBB;Желтый;https://bonds.finam.ru/issue/details03DA4/default.asp
Лазерные системы-БО-01;RU000A109JX8;2024-09-17;2027-09-02;23.25%;BBB;Желтый;https://bonds.finam.ru/issue/details03D06/default.asp
ТАЛК лизинг-001P-03;RU000A109DP7;2024-09-02;2027-08-18;20.5%;BBB;Желтый;https://bonds.finam.ru/issue/details03CF1/default.asp
АРЕНЗА-ПРО-001P-05;RU000A1097C2;2024-08-09;2027-08-30;21.25%;BBB;Желтый;https://bonds.finam.ru/issue/details03C40/default.asp
ТАЛК лизинг-001P-02;RU000A1090A1;2024-07-19;2027-07-04;18.25%;BBB;Желтый;https://bonds.finam.ru/issue/details03C6E/default.asp
ЭНЕРГОНИКА-001P-04;RU000A106R79;2023-08-17;2028-08-10;16.0%;BBB;Желтый;https://bonds.finam.ru/issue/details03809/default.asp
ЛайфСтрим-БО-П02;RU000A1068S9;2023-05-18;2028-05-11;13.5%;BBB;Желтый;https://bonds.finam.ru/issue/details036B6/default.asp
ЭНЕРГОНИКА-001P-03;RU000A105492;2022-08-23;2027-08-17;18.0%;BBB;Желтый;https://bonds.finam.ru/issue/details032E2/default.asp
СЭЗ имени Серго Орджоникидзе-001Р-02;RU000A102556;2020-09-22;2027-09-14;10.75%;BBB;Желтый;https://bonds.finam.ru/issue/details02AF7/default.asp
МФК Мани Мен-БО-02-01;RU000A10BGC9;2025-04-24;2029-04-03;25.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details04095/default.asp
ТЕХНО Лизинг-001Р-07;RU000A10BBG1;2025-04-11;2030-03-16;27.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details04053/default.asp
ЭкономЛизинг-001Р-08;RU000A10B081;2025-03-05;2028-02-18;27.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03F7C/default.asp
МФК Мани Мен-БО-01;RU000A10AYU6;2025-02-25;2028-02-10;26.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details03DEC/default.asp
МИРРИКО-БО-П02;RU000A10AFQ3;2024-12-24;2027-12-21;25.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03ECC/default.asp
Виллина-БО-01-001P;RU000A10A505;2024-11-25;2027-11-22;28.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03E46/default.asp
ВЕРАТЕК-БО-01;RU000A10A0H8;2024-11-06;2027-11-03;26.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03DEA/default.asp
РегионСпецТранс-БО-01;RU000A109NM3;2024-09-30;2027-09-15;23.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details03D4E/default.asp
Омега-БО-01;RU000A1092T7;2024-07-24;2028-01-05;20.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03C62/default.asp
МИРРИКО-БО-П01;RU000A109221;2024-07-23;2027-07-20;20.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03C2F/default.asp
ТД РКС-002Р-04;RU000A108RK0;2024-06-21;2027-06-18;20.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03BC7/default.asp
Лизинг-Трейд-001Р-11;RU000A107NJ3;2024-01-26;2028-12-30;20.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03A72/default.asp
ТЕХНО Лизинг-001Р-06;RU000A107FN1;2023-12-21;2028-11-24;17.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03A28/default.asp
Лизинг-Трейд-001Р-10;RU000A107480;2023-10-23;2028-09-26;20.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details038AD/default.asp
Лизинг-Трейд-001Р-09;RU000A106GB6;2023-07-04;2028-06-07;14.0%;BBB-;Желтый;https://bonds.finam.ru/issue/details03777/default.asp
Лизинг-Трейд-001Р-08;RU000A106987;2023-05-23;2028-04-26;14.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details036DC/default.asp
Лизинг-Трейд-001Р-07;RU000A105WZ4;2023-03-07;2028-02-09;14.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details035EB/default.asp
Лизинг-Трейд-001Р-06;RU000A105RF6;2023-01-19;2027-12-24;14.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details033A7/default.asp
ТЕХНО Лизинг-001Р-05;RU000A103TS0;2021-10-04;2027-09-03;11.5%;BBB-;Желтый;https://bonds.finam.ru/issue/details02FE1/default.asp
Лайм-Займ-001P-04;RU000A10B8C1;2025-04-04;2028-03-19;27.5%;BB+;Красный;https://bonds.finam.ru/issue/details0404B/default.asp
БиоВитрум-001Р-01;RU000A10B7N0;2025-04-02;2028-03-17;28.0%;BB+;Красный;https://bonds.finam.ru/issue/details04043/default.asp
ТЕХНОЛОГИЯ-БО-02;RU000A10B6K8;2025-03-27;2028-03-11;28.0%;BB+;Красный;https://bonds.finam.ru/issue/details03FD2/default.asp
АйДи Коллект-001Р-01;RU000A10B2P6;2025-03-14;2028-02-27;26.0%;BB+;Красный;https://bonds.finam.ru/issue/details03CE4/default.asp
Органик Парк-БО-П01;RU000A10AZN8;2025-02-28;2028-02-13;29.5%;BB+;Красный;https://bonds.finam.ru/issue/details03F11/default.asp
ОЙЛ РЕСУРС ГРУПП-001P-01;RU000A10AHU1;2024-12-28;2029-12-02;33.0%;BB+;Красный;https://bonds.finam.ru/issue/details03D1F/default.asp
Агентство Судебного Взыскания-БО-03-001P;RU000A109TF4;2024-10-18;2027-10-15;25.75%;BB+;Красный;https://bonds.finam.ru/issue/details03CC0/default.asp
АйДи Коллект-001Р-02;RU000A109T74;2024-10-17;2027-10-02;25.0%;BB+;Красный;https://bonds.finam.ru/issue/details03DA7/default.asp
ДиректЛизинг-002Р-03;RU000A1094T3;2024-08-01;2029-07-06;22.0%;BB+;Красный;https://bonds.finam.ru/issue/details03C6B/default.asp
АйДи Коллект-07;RU000A108L65;2024-06-04;2027-05-20;19.0%;BB+;Красный;https://bonds.finam.ru/issue/details03B94/default.asp
БИЗНЕС АЛЬЯНС-001Р-05;RU000A108GM9;2024-05-23;2027-05-08;20.0%;BB+;Красный;https://bonds.finam.ru/issue/details03BD7/default.asp
КОНТРОЛ лизинг-001P-02;RU000A1086N2;2024-04-24;2029-03-29;18.25%;BB+;Красный;https://bonds.finam.ru/issue/details03B17/default.asp
ДиректЛизинг-002Р-02;RU000A1078X8;2023-11-23;2028-10-27;18.0%;BB+;Красный;https://bonds.finam.ru/issue/details039A7/default.asp
КОНТРОЛ лизинг-001P-01;RU000A106T85;2023-08-31;2028-08-04;16.25%;BB+;Красный;https://bonds.finam.ru/issue/details037C8/default.asp
ДиректЛизинг-002Р-01;RU000A106GY8;2023-07-06;2027-07-01;14.0%;BB+;Красный;https://bonds.finam.ru/issue/details03770/default.asp
Сибирский КХП-001P-03;RU000A10BHX3;2025-04-29;2029-04-08;25.5%;BB;Красный;https://bonds.finam.ru/issue/details040C2/default.asp
ЕнисейАгроСоюз-001Р-02;RU000A10B925;2025-04-08;2030-03-13;28.0%;BB;Красный;https://bonds.finam.ru/issue/details04082/default.asp
СибАвтоТранс-001P-05;RU000A10B750;2025-03-28;2030-03-02;26.5%;BB;Красный;https://bonds.finam.ru/issue/details0403A/default.asp
Бианка Премиум-БО-02;RU000A10B5A1;2025-03-25;2028-03-09;28.5%;BB;Красный;https://bonds.finam.ru/issue/details03FC2/default.asp
ДЕВАР ПЕТРО-001Р-01;RU000A10B4L1;2025-03-21;2028-03-05;29.5%;BB;Красный;https://bonds.finam.ru/issue/details0400C/default.asp
А Спэйс-001P-02;RU000A10AYB6;2025-02-21;2028-08-04;31.0%;BB;Красный;https://bonds.finam.ru/issue/details03F24/default.asp
ХРОМОС Инжиниринг-БО-03;RU000A10AXX2;2025-02-20;2028-02-05;29.5%;BB;Красный;https://bonds.finam.ru/issue/details03EB0/default.asp
МГКЛ-001Р-07;RU000A10ATC4;2025-02-06;2030-01-11;30.0%;BB;Красный;https://bonds.finam.ru/issue/details03F49/default.asp
СибАвтоТранс-001P-04;RU000A10A1U9;2024-11-13;2029-10-18;28.0%;BB;Красный;https://bonds.finam.ru/issue/details03E09/default.asp
АВТОАССИСТАНС-001-01;RU000A109UE5;2024-10-23;2027-10-08;23.0%;BB;Красный;https://bonds.finam.ru/issue/details03D80/default.asp
Простая еда-001Р-01;RU000A1099W6;2024-08-23;2027-08-20;23.0%;BB;Красный;https://bonds.finam.ru/issue/details03CDB/default.asp
ВЭББАНКИР-001P-06;RU000A109890;2024-08-14;2028-01-26;23.0%;BB;Красный;https://bonds.finam.ru/issue/details03C9E/default.asp
Бианка Премиум-БО-01;RU000A1097X8;2024-08-13;2027-07-29;23.0%;BB;Красный;https://bonds.finam.ru/issue/details03CAF/default.asp
ХРОМОС Инжиниринг-БО-02;RU000A1094W7;2024-08-01;2029-07-06;22.75%;BB;Красный;https://bonds.finam.ru/issue/details03C8D/default.asp
МГКЛ-001Р-06;RU000A108ZU2;2024-07-17;2029-06-21;23.0%;BB;Красный;https://bonds.finam.ru/issue/details03C67/default.asp
ПЕРВОУРАЛЬСКБАНК-001P-01;RU000A108Y60;2024-07-09;2027-06-24;22.0%;BB;Красный;https://bonds.finam.ru/issue/details03C4A/default.asp
БИЗНЕС-ЛЭНД-БО-01;RU000A108WJ2;2024-07-04;2027-12-30;23.0%;BB;Красный;https://bonds.finam.ru/issue/details03C25/default.asp
Смартфакт-БО-03-001P;RU000A108LN7;2024-06-06;2027-05-22;21.75%;BB;Красный;https://bonds.finam.ru/issue/details03BFC/default.asp
Моторные технологии-001Р-05;RU000A108KV2;2024-05-31;2029-05-25;20.0%;BB;Красный;https://bonds.finam.ru/issue/details03BCC/default.asp
СОБИ-ЛИЗИНГ-001P-05;RU000A108KK5;2024-05-30;2028-05-09;19.25%;BB;Красный;https://bonds.finam.ru/issue/details03BDE/default.asp
ПЛАЗА-Телеком-БО-02;RU000A108E80;2024-05-14;2028-05-09;20.0%;BB;Красный;https://bonds.finam.ru/issue/details03B69/default.asp
А Спэйс-001P-01;RU000A1089A3;2024-04-11;2027-09-23;21.0%;BB;Красный;https://bonds.finam.ru/issue/details03B5A/default.asp
Агротек-БО-05;RU000A1083V2;2024-03-28;2029-03-22;18.0%;BB;Красный;https://bonds.finam.ru/issue/details03AD6/default.asp
Агротек-БО-04;RU000A1083X8;2024-03-28;2029-03-22;18.0%;BB;Красный;https://bonds.finam.ru/issue/details03AC7/default.asp
Племзавод Пушкинское-001P-03;RU000A1080Y2;2024-03-14;2029-03-08;18.0%;BB;Красный;https://bonds.finam.ru/issue/details03AF8/default.asp
Агрофирма Рубеж-001Р-02;RU000A107YT9;2024-03-12;2029-03-06;18.5%;BB;Красный;https://bonds.finam.ru/issue/details03AD4/default.asp
МГКЛ-001Р-05;RU000A107UB5;2024-02-27;2029-02-20;20.0%;BB;Красный;https://bonds.finam.ru/issue/details03AC9/default.asp
ВЭББАНКИР-001P-04;RU000A107U65;2024-02-22;2027-08-05;21.0%;BB;Красный;https://bonds.finam.ru/issue/details03ABF/default.asp
Моторные технологии-001Р-04;RU000A107TD3;2024-02-20;2029-02-13;18.0%;BB;Красный;https://bonds.finam.ru/issue/details03AB6/default.asp
ЕнисейАгроСоюз-001Р-01;RU000A107R29;2024-02-06;2029-01-30;20.0%;BB;Красный;https://bonds.finam.ru/issue/details03A35/default.asp
ПКФ МЕГАТАКТ-НН-БО-01;RU000A107PM2;2024-01-30;2028-01-25;20.0%;BB;Красный;https://bonds.finam.ru/issue/details03A75/default.asp
Сибирский КХП-001P-02;RU000A107P62;2024-01-29;2028-01-24;19.0%;BB;Красный;https://bonds.finam.ru/issue/details03A5F/default.asp
Племзавод Пушкинское-001P-02;RU000A107LU4;2024-01-23;2029-01-16;19.0%;BB;Красный;https://bonds.finam.ru/issue/details039D2/default.asp
СибАвтоТранс-001P-03;RU000A107KV4;2024-01-18;2029-01-11;19.0%;BB;Красный;https://bonds.finam.ru/issue/details03A55/default.asp
Племзавод Пушкинское-001P-01;RU000A107761;2023-11-14;2028-11-07;18.0%;BB;Красный;https://bonds.finam.ru/issue/details0396E/default.asp
Агротек-БО-03;RU000A106YL8;2023-09-28;2027-06-24;16.5%;BB;Красный;https://bonds.finam.ru/issue/details03865/default.asp
МГКЛ-001Р-04;RU000A106MV2;2023-08-01;2028-01-25;16.0%;BB;Красный;https://bonds.finam.ru/issue/details037E8/default.asp
МГКЛ-001Р-03;RU000A106FW4;2023-06-30;2027-06-25;16.0%;BB;Красный;https://bonds.finam.ru/issue/details0376F/default.asp
СибАвтоТранс-001P-02;RU000A106CB5;2023-06-06;2028-05-30;14.5%;BB;Красный;https://bonds.finam.ru/issue/details036F1/default.asp
Агротек-БО-02;RU000A1065Y3;2023-04-27;2027-07-22;15.0%;BB;Красный;https://bonds.finam.ru/issue/details03637/default.asp
МГКЛ-001P-02;RU000A105PJ2;2022-12-27;2027-06-22;16.5%;BB;Красный;https://bonds.finam.ru/issue/details03504/default.asp
Эфферон-01;RU000A105H98;2022-11-24;2027-11-18;17.5%;BB;Красный;https://bonds.finam.ru/issue/details0346B/default.asp
Служба защиты активов-БО-02;RU000A10B7S9;2025-04-02;2028-03-17;28.5%;BB-;Красный;https://bonds.finam.ru/issue/details03FCA/default.asp
Эффективные технологии-001Р-02;RU000A10B354;2025-03-17;2028-03-13;26.5%;BB-;Красный;https://bonds.finam.ru/issue/details03FE4/default.asp
КЛВЗ КРИСТАЛЛ-001Р-02;RU000A10AZG2;2025-02-27;2028-02-12;28.0%;BB-;Красный;https://bonds.finam.ru/issue/details03F8A/default.asp
ЛАНДСКЕЙП КОНСТРАКШН ХАБ-БО-02;RU000A10AT01;2025-02-04;2028-01-20;31.0%;BB-;Красный;https://bonds.finam.ru/issue/details03F08/default.asp
ЛАНДСКЕЙП КОНСТРАКШН ХАБ-БО-01;RU000A10AMY3;2025-01-16;2028-01-01;31.0%;BB-;Красный;https://bonds.finam.ru/issue/details03F07/default.asp
Служба защиты активов-БО-01;RU000A10AA77;2024-12-10;2027-11-25;31.0%;BB-;Красный;https://bonds.finam.ru/issue/details03E99/default.asp
Волгоградский Завод Весоизмерительной Техники-БО-01;RU000A10A7A8;2024-12-03;2027-11-30;30.0%;BB-;Красный;https://bonds.finam.ru/issue/details03E5C/default.asp
Антерра-БО-03;RU000A10A3Q3;2024-11-19;2027-11-16;30.0%;BB-;Красный;https://bonds.finam.ru/issue/details03DDF/default.asp
ГазТрансСнаб-БО-01;RU000A109RX1;2024-10-10;2029-10-04;25.0%;BB-;Красный;https://bonds.finam.ru/issue/details03D38/default.asp
Мой Самокат-БО-02;RU000A109R50;2024-10-08;2027-09-23;23.0%;BB-;Красный;https://bonds.finam.ru/issue/details03D1D/default.asp
Кеарли Групп-001P-01;RU000A108Q78;2024-06-18;2027-06-03;21.0%;BB-;Красный;https://bonds.finam.ru/issue/details03C16/default.asp
Антерра-БО-02;RU000A108FS8;2024-05-21;2027-05-18;20.0%;BB-;Красный;https://bonds.finam.ru/issue/details03B7A/default.asp
Урожай-БО-04;RU000A108FE8;2024-05-16;2027-11-11;20.0%;BB-;Красный;https://bonds.finam.ru/issue/details03B64/default.asp
МФК Быстроденьги-002P-06;RU000A108F63;2024-05-16;2027-10-28;21.0%;BB-;Красный;https://bonds.finam.ru/issue/details03BBD/default.asp
ГазТрансСнаб-001P-01;RU000A1075D6;2023-10-31;2028-10-24;20.0%;BB-;Красный;https://bonds.finam.ru/issue/details03966/default.asp
