Название облигации;ISIN;Дата размещения;Дата погашения;Ставка купона;Рейтинг;Цвет рейтинга;Ссылка
Альфа Дон Транс-001P-01;RU000A106Y70;2023-09-26;2027-09-21;18.0%;BB-;Красный;https://bonds.finam.ru/issue/details032DC/default.asp
Электроаппарат-БО-02;RU000A106UL6;2023-09-08;2027-09-03;16.0%;BB-;Красный;https://bonds.finam.ru/issue/details03891/default.asp
ИА Титан-5-Б;RU000A105UD5;2023-02-16;2050-06-26;11.0%;BB-;Красный;https://bonds.finam.ru/issue/details035A5/default.asp
ИА Титан-5-А;RU000A105UC7;2023-02-16;2050-06-26;10.65%;BB-;Красный;https://bonds.finam.ru/issue/details035A4/default.asp
С-Принт-БО-01;RU000A10BGE5;2025-04-24;2030-03-29;32.0%;B+;Красный;https://bonds.finam.ru/issue/details040AC/default.asp
Роял Капитал-БО-02;RU000A10BB83;2025-04-10;2028-03-25;31.0%;B+;Красный;https://bonds.finam.ru/issue/details0405A/default.asp
Пионер-Лизинг-03;RU000A10B4T4;2025-03-24;2035-01-31;31.0%;B+;Красный;https://bonds.finam.ru/issue/details03F97/default.asp
Глобал Факторинг Нетворк Рус-БО-07-001P;RU000A10B3V2;2025-03-18;2029-02-25;29.0%;B+;Красный;https://bonds.finam.ru/issue/details0401C/default.asp
Михайловский Молочный Завод-001P-02;RU000A10B255;2025-03-12;2029-02-19;27.0%;B+;Красный;https://bonds.finam.ru/issue/details03FFB/default.asp
Нафтатранс плюс-БО-07;RU000A10B1M5;2025-03-10;2029-02-17;28.0%;B+;Красный;https://bonds.finam.ru/issue/details03F93/default.asp
ТК Магнум Ойл-БО-01;RU000A10AMP1;2025-01-14;2027-12-30;34.0%;B+;Красный;https://bonds.finam.ru/issue/details03EEC/default.asp
Нафтатранс плюс-БО-06;RU000A10ADH7;2024-12-18;2027-12-03;30.0%;B+;Красный;https://bonds.finam.ru/issue/details03EA1/default.asp
Глобал Факторинг Нетворк Рус-БО-06-001P;RU000A10AAF7;2024-12-11;2028-11-20;31.0%;B+;Красный;https://bonds.finam.ru/issue/details03E7C/default.asp
СЛДК-001Р-01;RU000A109XN0;2024-10-29;2027-10-26;26.0%;B+;Красный;https://bonds.finam.ru/issue/details03D1A/default.asp
Остров Машин-001Р-01;RU000A109SJ8;2024-10-15;2027-09-30;26.0%;B+;Красный;https://bonds.finam.ru/issue/details03D9A/default.asp
СОЛИД СпецАвтоТехЛизинг-01;RU000A109NA8;2024-09-27;2028-03-10;24.0%;B+;Красный;https://bonds.finam.ru/issue/details03D28/default.asp
С-Принт-001Р-02;RU000A1098H9;2024-08-15;2029-08-09;23.0%;B+;Красный;https://bonds.finam.ru/issue/details03CC4/default.asp
Пионер-Лизинг-02;RU000A1090H6;2024-07-22;2034-05-31;22.26%;B+;Красный;https://bonds.finam.ru/issue/details03C0D/default.asp
Михайловский Молочный Завод-001P-01;RU000A108YZ4;2024-07-11;2027-06-26;20.0%;B+;Красный;https://bonds.finam.ru/issue/details03C50/default.asp
Глобал Факторинг Нетворк Рус-БО-05-001P;RU000A108VZ0;2024-07-02;2028-06-11;23.0%;B+;Красный;https://bonds.finam.ru/issue/details03C27/default.asp
С-Принт-001P-01;RU000A108BE7;2024-04-23;2029-04-17;20.0%;B+;Красный;https://bonds.finam.ru/issue/details03B7B/default.asp
Солид-Лизинг-БО-02;RU000A107W71;2024-03-01;2027-08-27;21.0%;B+;Красный;https://bonds.finam.ru/issue/details03AAA/default.asp
Глобал Факторинг Нетворк Рус-БО-04-001P;RU000A107CJ6;2023-12-11;2027-11-20;20.5%;B+;Красный;https://bonds.finam.ru/issue/details039F5/default.asp
ПК СМАК-БО-П02;RU000A106UA9;2023-09-07;2027-08-17;16.0%;B+;Красный;https://bonds.finam.ru/issue/details0388A/default.asp
Глобал Факторинг Нетворк Рус-БО-03-001P;RU000A106LS0;2023-07-26;2027-07-05;14.75%;B+;Красный;https://bonds.finam.ru/issue/details037DC/default.asp
Сергиево-Посадский мясокомбинат-БО-02;RU000A106FN3;2023-06-29;2027-06-08;14.4%;B+;Красный;https://bonds.finam.ru/issue/details03723/default.asp
Пионер-Лизинг-01;RU000A104V00;2022-06-07;2032-04-15;19.18%;B+;Красный;https://bonds.finam.ru/issue/details0325A/default.asp
Пионер-Лизинг-БО-П03;RU000A1013N6;2019-11-26;2029-10-04;13.25%;B+;Красный;https://bonds.finam.ru/issue/details026EC/default.asp
Пионер-Лизинг-БО-П02;RU000A1006C3;2019-03-15;2029-01-21;14.0%;B+;Красный;https://bonds.finam.ru/issue/details02417/default.asp
Центр-резерв-БО-04;RU000A10B7D1;2025-03-31;2028-03-15;29.5%;B;Красный;https://bonds.finam.ru/issue/details0404A/default.asp
Нэппи Клаб-БО-01;RU000A109KG1;2024-09-19;2027-09-04;25.25%;B;Красный;https://bonds.finam.ru/issue/details03CE6/default.asp
СФО РЛО-А;RU000A1095N3;2024-09-12;2029-09-06;19.0%;B;Красный;https://bonds.finam.ru/issue/details03CC1/default.asp
АгроДом-БО-01;RU000A109AU3;2024-08-27;2028-02-22;24.0%;B;Красный;https://bonds.finam.ru/issue/details03CDF/default.asp
СибСульфур-БО-01-001P;RU000A1098T4;2024-08-15;2027-08-12;25.0%;B;Красный;https://bonds.finam.ru/issue/details03CC7/default.asp
Нижегородец Восток-БО-01;RU000A108LL1;2024-06-06;2029-05-31;21.0%;B;Красный;https://bonds.finam.ru/issue/details03BF6/default.asp
Центр-резерв-БО-03;RU000A107P47;2024-01-26;2028-01-05;19.0%;B;Красный;https://bonds.finam.ru/issue/details03A73/default.asp
Истринская сыроварня-БО-03;RU000A107C00;2023-12-07;2027-11-16;18.0%;B;Красный;https://bonds.finam.ru/issue/details0395E/default.asp
Мосрегионлифт-БО-02;RU000A106DJ6;2023-06-15;2027-05-25;15.25%;B;Красный;https://bonds.finam.ru/issue/details036EA/default.asp
Агро-Фрегат-БО-01;RU000A108FG3;2024-05-16;2027-05-13;22.5%;B-;Красный;https://bonds.finam.ru/issue/details03BB5/default.asp
Строй Система Механизация-БО-01;RU000A109KK3;2024-09-19;2027-09-16;25.0%;CCC;Красный;https://bonds.finam.ru/issue/details03D08/default.asp
ФИНАНСОВЫЕ СИСТЕМЫ-БО-П01;RU000A1094L0;2024-07-31;2027-07-28;23.0%;D;Красный;https://bonds.finam.ru/issue/details03C6C/default.asp
Интернешнл Петролиум Сервис-БО-01;RU000A10B4H9;2025-03-21;2030-03-15;30.5%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details0402A/default.asp
БЭЛТИ-ГРАНД-БО-П07;RU000A10AQD8;2025-01-27;2028-01-12;25.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03D88/default.asp
Томская область-34072;RU000A10AC75;2024-12-17;2027-12-12;26.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03E7B/default.asp
Башкортостан-34014;RU000A10AC91;2024-12-17;2027-12-14;23.75%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03E7A/default.asp
Новосибирская область-34026;RU000A10ABC2;2024-12-13;2027-11-28;25.5%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03E0D/default.asp
СФО Аврора Инвест-А1;RU000A109650;2024-10-22;2029-10-16;18.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03CAD/default.asp
Ульяновская область-34009;RU000A109RR3;2024-10-10;2029-10-04;22.5%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03D4B/default.asp
Якутия-35016;RU000A109L72;2024-09-24;2029-10-28;20.3%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03CF7/default.asp
Новосибирская область-34024;RU000A1099S4;2024-08-23;2029-08-17;19.5%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03CB5/default.asp
Ульяновская область-34008;RU000A1087F6;2024-04-11;2029-04-05;16.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03B2D/default.asp
СФО ТЕМП-А;RU000A107FW2;2024-02-06;2029-01-30;14.5%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03A99/default.asp
Новосибирская область-35023;RU000A107B19;2023-12-01;2030-11-22;12.75%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details039B2/default.asp
СФО Орион Финанс-А;RU000A106ZM3;2023-11-21;2028-11-14;10.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details039B3/default.asp
БЭЛТИ-ГРАНД-БО-П06;RU000A1076A0;2023-11-08;2028-10-12;17.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details0397B/default.asp
Маэстро-001P-01;RU000A107001;2023-10-10;2028-10-08;14.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details038F1/default.asp
РЖД-001P-28R;RU000A106ZL5;2023-10-05;2030-09-20;13.37%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details038DD/default.asp
Магаданская область-34003;RU000A106YE3;2023-09-27;2028-09-20;13.75%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details038B7/default.asp
Ульяновская область-34005;RU000A106607;2023-04-27;2028-04-26;10.6%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details03682/default.asp
Магаданская область-34002;RU000A105NT6;2022-12-23;2027-12-17;10.61%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details034D2/default.asp
СФО Альта-А;RU000A105BZ8;2022-12-22;2027-12-16;10.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details034E9/default.asp
Калининградская область-35007;RU000A105ND0;2022-12-22;2029-12-13;10.35%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details034CE/default.asp
СФО Спутник Финанс-А;RU000A104VD6;2022-07-19;2027-07-13;10.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details032BA/default.asp
ВТБ-СУБ-Т2-2;RU000A102887;2020-10-14;2031-04-02;6.45%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details02B5E/default.asp
Ситиматик-Югра-01;RU000A0ZZYS0;2018-12-19;2036-12-20;10.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details0238F/default.asp
Концессии водоснабжения - Саратов-01;RU000A0ZZWQ8;2018-12-06;2033-12-02;11.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details022C3/default.asp
Ситиматик-БО-02;RU000A0ZZ2W9;2018-04-12;2036-12-20;10.5%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details02099/default.asp
ФИНКОНСАЛТ-БО-П02;RU000A0ZYSE5;2018-02-13;2028-02-01;8.0%;Нет данных;Нет данных;https://bonds.finam.ru/issue/details0212E/default.asp
Россия-ОФЗ-29027-ПК;RU000A10AA93;2024-12-11;2036-09-11;21.39%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03E9E/default.asp
Россия-ОФЗ-29026-ПК;RU000A10A7D2;2024-12-04;2038-09-04;21.38%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03E73/default.asp
Россия-ОФЗ-26245-ПД;RU000A108EG6;2024-05-15;2035-09-26;12.0%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03BB7/default.asp
Россия-ОФЗ-26246-ПД;RU000A108EE1;2024-05-15;2036-03-12;12.0%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03BB8/default.asp
Россия-ОФЗ-26248-ПД;RU000A108EH4;2024-05-15;2040-05-16;12.25%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03BBA/default.asp
Россия-ОФЗ-26247-ПД;RU000A108EF8;2024-05-15;2039-05-11;12.25%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03BB9/default.asp
Автодор-002Р-21;RU000A107G97;2023-12-22;2050-12-15;12.94%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details039C3/default.asp
Автодор-002Р-20;RU000A1077W2;2023-11-16;2050-11-09;12.94%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0352D/default.asp
Россия-ОФЗ-26244-ПД;RU000A1074G2;2023-10-25;2034-03-15;11.25%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03961/default.asp
Автодор-002Р-19;RU000A107449;2023-10-24;2050-10-17;12.94%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0352C/default.asp
Россия-ОФЗ-29025-ПК;RU000A106Z61;2023-10-04;2037-08-12;13.6%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03902/default.asp
Автодор-002Р-18;RU000A106X63;2023-09-19;2050-09-12;12.94%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03348/default.asp
Россия-ОФЗ-29024-ПК;RU000A1066D5;2023-05-03;2035-04-18;7.37%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details036B3/default.asp
Автодор-002Р-17;RU000A105PW5;2022-12-28;2049-12-21;9.39%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03347/default.asp
Россия-ОФЗ-29023-ПК;RU000A105L19;2022-12-07;2034-08-23;7.2%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details034C0/default.asp
Россия-ОФЗ-29022-ПК;RU000A105G16;2022-11-16;2033-07-20;7.22%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0345C/default.asp
Россия-ОФЗ-29021-ПК;RU000A105B11;2022-10-19;2030-11-27;7.29%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details033FA/default.asp
Автодор-002Р-16;RU000A1055F3;2022-09-01;2049-08-25;9.39%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0326F/default.asp
Автодор-002Р-15;RU000A104Y23;2022-07-13;2049-07-06;9.39%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0326E/default.asp
Автодор-002Р-14;RU000A104TH1;2022-05-19;2049-05-12;9.39%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03012/default.asp
Автодор-002Р-13;RU000A104P57;2022-04-13;2049-04-06;9.39%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details03011/default.asp
Автодор-002Р-12;RU000A104C94;2021-12-27;2048-12-20;5.9%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02FEB/default.asp
Автодор-002Р-11;RU000A103M93;2021-08-31;2048-08-24;5.9%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02F52/default.asp
Автодор-002Р-10;RU000A1039E0;2021-06-21;2048-06-14;5.9%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02D11/default.asp
Автодор-002Р-09;RU000A1035B4;2021-05-28;2048-05-21;5.9%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02D10/default.asp
Автодор-002Р-08;RU000A102PA8;2021-01-28;2048-01-22;5.9%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02C08/default.asp
Автодор-001Р-31;RU000A1017M9;2019-12-20;2046-12-13;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0273E/default.asp
Автодор-001Р-23;RU000A1017D8;2019-12-20;2046-12-13;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02736/default.asp
Автодор-001Р-22;RU000A1017F3;2019-12-20;2046-12-13;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02735/default.asp
Автодор-001Р-21;RU000A1017K3;2019-12-20;2046-12-13;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details026AA/default.asp
Автодор-001Р-20;RU000A1017L1;2019-12-20;2046-12-13;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details026A9/default.asp
Диомидовский рыбный порт-БО-001-03;RU000A1016D0;2019-12-16;2029-12-03;7.0%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details026CC/default.asp
Автодор-001Р-19;RU000A1012A5;2019-11-18;2046-11-11;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details026A8/default.asp
Автодор-001Р-18;RU000A101285;2019-11-18;2046-11-11;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details026A7/default.asp
Автодор-001Р-17;RU000A100WH3;2019-10-08;2046-10-01;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02547/default.asp
Автодор-001Р-13;RU000A100W45;2019-10-02;2046-09-25;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0239C/default.asp
Автодор-001Р-12;RU000A100T99;2019-09-09;2046-09-02;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0239B/default.asp
Диомидовский рыбный порт-БО-001-02;RU000A100RX0;2019-08-28;2029-08-15;7.25%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02612/default.asp
Автодор-001Р-16;RU000A100MP7;2019-07-25;2046-07-18;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02546/default.asp
Автодор-001Р-11;RU000A100GL8;2019-06-25;2046-06-18;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0239A/default.asp
Автодор-001Р-15;RU000A100CB8;2019-05-14;2046-05-07;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0248C/default.asp
Автодор-001Р-10;RU000A100CA0;2019-05-14;2046-05-07;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02399/default.asp
Автодор-001Р-14;RU000A100BT2;2019-05-07;2046-04-30;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details0248B/default.asp
Автодор-001Р-09;RU000A1001Y8;2019-01-29;2046-01-22;5.3%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02398/default.asp
ТД Энерго-угли-БО-03;RU000A0ZZXU8;2018-12-13;2028-11-30;12.75%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details023C7/default.asp
ТД Энерго-угли-БО-01;RU000A0ZZEX2;2018-07-31;2028-07-18;12.5%;Ошибка;Ошибка;https://bonds.finam.ru/issue/details02280/default.asp
